"scheme","k","n","cov","eff","div"
"NNB",6,4800000,0.0622577751668006,0.610202475379595,0.290001861527546
"NNB",6,4900000,0.0634277003280576,0.608982049334175,0.290001861527546
"NNB",6,5e+06,0.0645931801314063,0.607768613174741,0.290001861527546
"NNB",6,5100000,0.0657542508868219,0.606562090679523,0.290001861527546
"NNB",6,5200000,0.0669109483999659,0.605362406927295,0.290001861527546
"NNB",6,5300000,0.0680633079825148,0.604169488266366,0.290001861527546
"NNB",6,5400000,0.0692113644622043,0.602983262284535,0.290001861527546
"NNB",6,5500000,0.0703551521925973,0.601803657779968,0.290001861527546
"NNB",6,5600000,0.0714947050625873,0.60063060473296,0.290001861527546
"NNB",6,5700000,0.0726300565056442,0.599464034278563,0.290001861527546
"NNB",6,5800000,0.0737612395088134,0.598303878680023,0.290001861527546
"NNB",6,5900000,0.0748882866214748,0.597150071303017,0.290001861527546
"NNB",6,6e+06,0.0760112299638715,0.596002546590656,0.290001861527546
"NNB",6,6100000,0.0771301012354137,0.594861240039217,0.290001861527546
"NNB",6,6200000,0.0782449317227676,0.593726088174589,0.290001861527546
"NNB",6,6300000,0.0793557523077355,0.592597028529397,0.290001861527546
"NNB",6,6400000,0.0804625934749326,0.59147399962079,0.290001861527546
"NNB",6,6500000,0.0815654853192695,0.590356940928862,0.290001861527546
"NNB",6,6600000,0.0826644575532449,0.589245792875683,0.290001861527546
"NNB",6,6700000,0.0837595395140549,0.588140496804929,0.290001861527546
"NNB",6,6800000,0.084850760170526,0.587040994962074,0.290001861527546
"NNB",6,6900000,0.0859381481298749,0.58594723047514,0.290001861527546
"NNB",6,7e+06,0.0870217316443031,0.584859147335974,0.290001861527546
"NNB",6,7100000,0.0881015386174299,0.583776690382044,0.290001861527546
"NNB",6,7200000,0.089177596610569,0.582699805278727,0.290001861527546
"NNB",6,7300000,0.0902499328488542,0.58162843850208,0.290001861527546
"NNB",6,7400000,0.0913185742272179,0.580562537322076,0.290001861527546
"NNB",6,7500000,0.0923835473162276,0.579502049786282,0.290001861527546
"NNB",6,7600000,0.0934448783677839,0.578446924703978,0.290001861527546
"NNB",6,7700000,0.094502593320685,0.577397111630694,0.290001861527546
"NNB",6,7800000,0.0955567178060615,0.576352560853147,0.290001861527546
"NNB",6,7900000,0.0966072771526839,0.57531322337458,0.290001861527546
"NNB",6,8e+06,0.0976542963921495,0.574279050900474,0.290001861527546
"NNB",6,8100000,0.0986978002639485,0.573249995824628,0.290001861527546
"NNB",6,8200000,0.0997378132204166,0.572226011215603,0.290001861527546
"NNB",6,8300000,0.100774359431574,0.571207050803499,0.290001861527546
"NNB",6,8400000,0.101807462789855,0.570193068967078,0.290001861527546
"NNB",6,8500000,0.102837146914737,0.569184020721204,0.290001861527546
"NNB",6,8600000,0.103863435157257,0.568179861704595,0.290001861527546
"NNB",6,8700000,0.104886350604437,0.567180548167887,0.290001861527546
"NNB",6,8800000,0.10590591608361,0.566186036961987,0.290001861527546
