"scheme","Counts","samp.encoding","probs","k","di","choices"
"NNB","0,1,0,3,2","BDDDEE",4.16196717979985e-05,6,10800,60
"NNB","0,1,0,2,3","BDDEEE",1.73415299158326e-05,6,9000,60
"NNB","0,1,0,1,4","BDEEEE",7.22563746493026e-06,6,7500,30
"NNB","0,1,0,0,5","BEEEEE",3.01068227705429e-06,6,6250,6
"NNB","0,0,6,0,0","CCCCCC",0.00137174211248286,6,15625,1
"NNB","0,0,5,1,0","CCCCCD",0.00109739368998629,6,18750,6
"NNB","0,0,5,0,1","CCCCCE",0.000457247370827619,6,15625,6
"NNB","0,0,4,2,0","CCCCDD",0.000877914951989027,6,22500,15
"NNB","0,0,4,1,1","CCCCDE",0.000365797896662095,6,18750,30
"NNB","0,0,4,0,2","CCCCEE",0.000152415790275873,6,15625,15
"NNB","0,0,3,3,0","CCCDDD",0.000702331961591222,6,27000,20
"NNB","0,0,3,2,1","CCCDDE",0.000292638317329676,6,22500,60
"NNB","0,0,3,1,2","CCCDEE",0.000121932632220698,6,18750,60
"NNB","0,0,3,0,3","CCCEEE",5.08052634252908e-05,6,15625,20
"NNB","0,0,2,4,0","CCDDDD",0.000561865569272976,6,32400,15
"NNB","0,0,2,3,1","CCDDDE",0.00023411065386374,6,27000,60
"NNB","0,0,2,2,2","CCDDEE",9.75461057765583e-05,6,22500,90
"NNB","0,0,2,1,3","CCDEEE",4.06442107402326e-05,6,18750,60
"NNB","0,0,2,0,4","CCEEEE",1.69350878084302e-05,6,15625,15
"NNB","0,0,1,5,0","CDDDDD",0.000449492455418381,6,38880,6
"NNB","0,0,1,4,1","CDDDDE",0.000187288523090992,6,32400,30
"NNB","0,0,1,3,2","CDDDEE",7.80368846212467e-05,6,27000,60
"NNB","0,0,1,2,3","CDDEEE",3.25153685921862e-05,6,22500,60
"NNB","0,0,1,1,4","CDEEEE",1.35480702467442e-05,6,18750,30
"NNB","0,0,1,0,5","CEEEEE",5.64502926947677e-06,6,15625,6
"NNB","0,0,0,6,0","DDDDDD",0.000359593964334707,6,46656,1
"NNB","0,0,0,5,1","DDDDDE",0.000149830818472794,6,38880,6
"NNB","0,0,0,4,2","DDDDEE",6.24295076969976e-05,6,32400,15
"NNB","0,0,0,3,3","DDDEEE",2.6012294873749e-05,6,27000,20
"NNB","0,0,0,2,4","DDEEEE",1.08384561973954e-05,6,22500,15
"NNB","0,0,0,1,5","DEEEEE",4.51602341558141e-06,6,18750,6
"NNB","0,0,0,0,6","EEEEEE",1.88167642315892e-06,6,15625,1
"NNB","7,0,0,0,0","AAAAAAA",2.09075158128769e-07,7,1,1
"NNB","6,1,0,0,0","AAAAAAB",3.3452025300603e-07,7,2,7
"NNB","6,0,1,0,0","AAAAAAC",6.27225474386307e-07,7,5,7
"NNB","6,0,0,1,0","AAAAAAD",5.01780379509045e-07,7,6,7
"NNB","6,0,0,0,1","AAAAAAE",2.09075158128769e-07,7,5,7
"NNB","5,2,0,0,0","AAAAABB",5.3523240480965e-07,7,4,21
"NNB","5,1,1,0,0","AAAAABC",1.00356075901809e-06,7,10,42
"NNB","5,1,0,1,0","AAAAABD",8.02848607214475e-07,7,12,42
"NNB","5,1,0,0,1","AAAAABE",3.34520253006031e-07,7,10,42
"NNB","5,0,2,0,0","AAAAACC",1.88167642315892e-06,7,25,21
"NNB","5,0,1,1,0","AAAAACD",1.50534113852714e-06,7,30,42
"NNB","5,0,1,0,1","AAAAACE",6.27225474386308e-07,7,25,42
"NNB","5,0,0,2,0","AAAAADD",1.20427291082171e-06,7,36,21
"NNB","5,0,0,1,1","AAAAADE",5.01780379509046e-07,7,30,42
"NNB","5,0,0,0,2","AAAAAEE",2.09075158128769e-07,7,25,21
"NNB","4,3,0,0,0","AAAABBB",8.5637184769544e-07,7,8,35
"NNB","4,2,1,0,0","AAAABBC",1.60569721442895e-06,7,20,105
"NNB","4,2,0,1,0","AAAABBD",1.28455777154316e-06,7,24,105
"NNB","4,2,0,0,1","AAAABBE",5.3523240480965e-07,7,20,105
"NNB","4,1,2,0,0","AAAABCC",3.01068227705428e-06,7,50,105
"NNB","4,1,1,1,0","AAAABCD",2.40854582164342e-06,7,60,210
"NNB","4,1,1,0,1","AAAABCE",1.00356075901809e-06,7,50,210
"NNB","4,1,0,2,0","AAAABDD",1.92683665731474e-06,7,72,105
"NNB","4,1,0,1,1","AAAABDE",8.02848607214474e-07,7,60,210
"NNB","4,1,0,0,2","AAAABEE",3.34520253006031e-07,7,50,105
"NNB","4,0,3,0,0","AAAACCC",5.64502926947677e-06,7,125,35
"NNB","4,0,2,1,0","AAAACCD",4.51602341558141e-06,7,150,105
"NNB","4,0,2,0,1","AAAACCE",1.88167642315892e-06,7,125,105
"NNB","4,0,1,2,0","AAAACDD",3.61281873246515e-06,7,180,105
"NNB","4,0,1,1,1","AAAACDE",1.50534113852714e-06,7,150,210
"NNB","4,0,1,0,2","AAAACEE",6.27225474386309e-07,7,125,105
"NNB","4,0,0,3,0","AAAADDD",2.89025498597211e-06,7,216,35
"NNB","4,0,0,2,1","AAAADDE",1.20427291082171e-06,7,180,105
"NNB","4,0,0,1,2","AAAADEE",5.01780379509047e-07,7,150,105
"NNB","4,0,0,0,3","AAAAEEE",2.09075158128769e-07,7,125,35
"NNB","3,4,0,0,0","AAABBBB",1.37019495631271e-06,7,16,35
"NNB","3,3,1,0,0","AAABBBC",2.56911554308632e-06,7,40,140
"NNB","3,3,0,1,0","AAABBBD",2.05529243446906e-06,7,48,140
"NNB","3,3,0,0,1","AAABBBE",8.56371847695441e-07,7,40,140
"NNB","3,2,2,0,0","AAABBCC",4.81709164328687e-06,7,100,210
"NNB","3,2,1,1,0","AAABBCD",3.85367331462949e-06,7,120,420
"NNB","3,2,1,0,1","AAABBCE",1.60569721442896e-06,7,100,420
"NNB","3,2,0,2,0","AAABBDD",3.0829386517036e-06,7,144,210
"NNB","3,2,0,1,1","AAABBDE",1.28455777154317e-06,7,120,420
"NNB","3,2,0,0,2","AAABBEE",5.35232404809651e-07,7,100,210
"NNB","3,1,3,0,0","AAABCCC",9.03204683116287e-06,7,250,140
"NNB","3,1,2,1,0","AAABCCD",7.22563746493029e-06,7,300,420
"NNB","3,1,2,0,1","AAABCCE",3.01068227705429e-06,7,250,420
"NNB","3,1,1,2,0","AAABCDD",5.78050997194424e-06,7,360,420
"NNB","3,1,1,1,1","AAABCDE",2.40854582164343e-06,7,300,840
"NNB","3,1,1,0,2","AAABCEE",1.0035607590181e-06,7,250,420
"NNB","3,1,0,3,0","AAABDDD",4.62440797755539e-06,7,432,140
"NNB","3,1,0,2,1","AAABDDE",1.92683665731474e-06,7,360,420
"NNB","3,1,0,1,2","AAABDEE",8.02848607214477e-07,7,300,420
"NNB","3,1,0,0,3","AAABEEE",3.34520253006032e-07,7,250,140
"NNB","3,0,4,0,0","AAACCCC",1.69350878084303e-05,7,625,35
"NNB","3,0,3,1,0","AAACCCD",1.35480702467443e-05,7,750,140
"NNB","3,0,3,0,1","AAACCCE",5.64502926947678e-06,7,625,140
"NNB","3,0,2,2,0","AAACCDD",1.08384561973954e-05,7,900,210
"NNB","3,0,2,1,1","AAACCDE",4.51602341558142e-06,7,750,420
"NNB","3,0,2,0,2","AAACCEE",1.88167642315892e-06,7,625,210
"NNB","3,0,1,3,0","AAACDDD",8.67076495791637e-06,7,1080,140
"NNB","3,0,1,2,1","AAACDDE",3.61281873246516e-06,7,900,420
"NNB","3,0,1,1,2","AAACDEE",1.50534113852714e-06,7,750,420
"NNB","3,0,1,0,3","AAACEEE",6.2722547438631e-07,7,625,140
"NNB","3,0,0,4,0","AAADDDD",6.93661196633307e-06,7,1296,35
"NNB","3,0,0,3,1","AAADDDE",2.89025498597211e-06,7,1080,140
"NNB","3,0,0,2,2","AAADDEE",1.20427291082171e-06,7,900,210
"NNB","3,0,0,1,3","AAADEEE",5.01780379509048e-07,7,750,140
"NNB","3,0,0,0,4","AAAEEEE",2.09075158128769e-07,7,625,35
"NNB","2,5,0,0,0","AABBBBB",2.19231193010032e-06,7,32,21
"NNB","2,4,1,0,0","AABBBBC",4.1105848689381e-06,7,80,105
"NNB","2,4,0,1,0","AABBBBD",3.28846789515048e-06,7,96,105
"NNB","2,4,0,0,1","AABBBBE",1.3701949563127e-06,7,80,105
"NNB","2,3,2,0,0","AABBBCC",7.70734662925897e-06,7,200,210
"NNB","2,3,1,1,0","AABBBCD",6.16587730340717e-06,7,240,420
"NNB","2,3,1,0,1","AABBBCE",2.56911554308632e-06,7,200,420
"NNB","2,3,0,2,0","AABBBDD",4.93270184272573e-06,7,288,210
"NNB","2,3,0,1,1","AABBBDE",2.05529243446906e-06,7,240,420
"NNB","2,3,0,0,2","AABBBEE",8.56371847695441e-07,7,200,210
"NNB","2,2,3,0,0","AABBCCC",1.44512749298606e-05,7,500,210
"NNB","2,2,2,1,0","AABBCCD",1.15610199438885e-05,7,600,630
"NNB","2,2,2,0,1","AABBCCE",4.81709164328686e-06,7,500,630
"NNB","2,2,1,2,0","AABBCDD",9.24881595511075e-06,7,720,630
"NNB","2,2,1,1,1","AABBCDE",3.85367331462948e-06,7,600,1260
"NNB","2,2,1,0,2","AABBCEE",1.60569721442896e-06,7,500,630
"NNB","2,2,0,3,0","AABBDDD",7.39905276408861e-06,7,864,210
"NNB","2,2,0,2,1","AABBDDE",3.08293865170359e-06,7,720,630
"NNB","2,2,0,1,2","AABBDEE",1.28455777154316e-06,7,600,630
"NNB","2,2,0,0,3","AABBEEE",5.35232404809651e-07,7,500,210
"NNB","2,1,4,0,0","AABCCCC",2.70961404934886e-05,7,1250,105
"NNB","2,1,3,1,0","AABCCCD",2.16769123947909e-05,7,1500,420
"NNB","2,1,3,0,1","AABCCCE",9.03204683116286e-06,7,1250,420
"NNB","2,1,2,2,0","AABCCDD",1.73415299158327e-05,7,1800,630
"NNB","2,1,2,1,1","AABCCDE",7.22563746493029e-06,7,1500,1260
"NNB","2,1,2,0,2","AABCCEE",3.01068227705429e-06,7,1250,630
"NNB","2,1,1,3,0","AABCDDD",1.38732239326661e-05,7,2160,420
"NNB","2,1,1,2,1","AABCDDE",5.78050997194421e-06,7,1800,1260
"NNB","2,1,1,1,2","AABCDEE",2.40854582164342e-06,7,1500,1260
"NNB","2,1,1,0,3","AABCEEE",1.00356075901809e-06,7,1250,420
"NNB","2,1,0,4,0","AABDDDD",1.10985791461329e-05,7,2592,105
"NNB","2,1,0,3,1","AABDDDE",4.62440797755538e-06,7,2160,420
"NNB","2,1,0,2,2","AABDDEE",1.92683665731474e-06,7,1800,630
"NNB","2,1,0,1,3","AABDEEE",8.02848607214476e-07,7,1500,420
"NNB","2,1,0,0,4","AABEEEE",3.34520253006032e-07,7,1250,105
"NNB","2,0,5,0,0","AACCCCC",5.0805263425291e-05,7,3125,21
"NNB","2,0,4,1,0","AACCCCD",4.06442107402328e-05,7,3750,105
"NNB","2,0,4,0,1","AACCCCE",1.69350878084303e-05,7,3125,105
"NNB","2,0,3,2,0","AACCCDD",3.25153685921864e-05,7,4500,210
"NNB","2,0,3,1,1","AACCCDE",1.35480702467443e-05,7,3750,420
"NNB","2,0,3,0,2","AACCCEE",5.64502926947679e-06,7,3125,210
"NNB","2,0,2,3,0","AACCDDD",2.6012294873749e-05,7,5400,210
"NNB","2,0,2,2,1","AACCDDE",1.08384561973954e-05,7,4500,630
"NNB","2,0,2,1,2","AACCDEE",4.51602341558143e-06,7,3750,630
"NNB","2,0,2,0,3","AACCEEE",1.88167642315892e-06,7,3125,210
"NNB","2,0,1,4,0","AACDDDD",2.08098358989993e-05,7,6480,105
"NNB","2,0,1,3,1","AACDDDE",8.67076495791635e-06,7,5400,420
"NNB","2,0,1,2,2","AACDDEE",3.61281873246514e-06,7,4500,630
"NNB","2,0,1,1,3","AACDEEE",1.50534113852714e-06,7,3750,420
"NNB","2,0,1,0,4","AACEEEE",6.27225474386309e-07,7,3125,105
"NNB","2,0,0,5,0","AADDDDD",1.66478687191993e-05,7,7776,21
"NNB","2,0,0,4,1","AADDDDE",6.93661196633305e-06,7,6480,105
"NNB","2,0,0,3,2","AADDDEE",2.8902549859721e-06,7,5400,210
"NNB","2,0,0,2,3","AADDEEE",1.20427291082171e-06,7,4500,210
"NNB","2,0,0,1,4","AADEEEE",5.01780379509046e-07,7,3750,105
"NNB","2,0,0,0,5","AAEEEEE",2.09075158128769e-07,7,3125,21
"NNB","1,6,0,0,0","ABBBBBB",3.50769908816052e-06,7,64,7
"NNB","1,5,1,0,0","ABBBBBC",6.57693579030097e-06,7,160,42
"NNB","1,5,0,1,0","ABBBBBD",5.26154863224077e-06,7,192,42
"NNB","1,5,0,0,1","ABBBBBE",2.19231193010032e-06,7,160,42
"NNB","1,4,2,0,0","ABBBBCC",1.23317546068143e-05,7,400,105
"NNB","1,4,1,1,0","ABBBBCD",9.86540368545147e-06,7,480,210
"NNB","1,4,1,0,1","ABBBBCE",4.11058486893811e-06,7,400,210
"NNB","1,4,0,2,0","ABBBBDD",7.89232294836117e-06,7,576,105
"NNB","1,4,0,1,1","ABBBBDE",3.28846789515049e-06,7,480,210
"NNB","1,4,0,0,2","ABBBBEE",1.3701949563127e-06,7,400,105
"NNB","1,3,3,0,0","ABBBCCC",2.31220398877769e-05,7,1000,140
"NNB","1,3,2,1,0","ABBBCCD",1.84976319102215e-05,7,1200,420
"NNB","1,3,2,0,1","ABBBCCE",7.70734662925897e-06,7,1000,420
"NNB","1,3,1,2,0","ABBBCDD",1.47981055281772e-05,7,1440,420
"NNB","1,3,1,1,1","ABBBCDE",6.16587730340717e-06,7,1200,840
"NNB","1,3,1,0,2","ABBBCEE",2.56911554308632e-06,7,1000,420
"NNB","1,3,0,3,0","ABBBDDD",1.18384844225417e-05,7,1728,140
"NNB","1,3,0,2,1","ABBBDDE",4.93270184272572e-06,7,1440,420
"NNB","1,3,0,1,2","ABBBDEE",2.05529243446904e-06,7,1200,420
